"id","brand","company","overall_grade","color_grade","statement","grade_policies","grade_wage","grade_rights","grade_workers","grade_environment","grade_climate"
"43","ASICS","ASICS","31","3","This is lower than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","Good Progress"
"44","ASOS 4505","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"45","ASOS collabs","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"46","ASOS DESIGN","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"47","ASOS EDITION","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"48","ASOS MADE IN KENYA","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"49","ASOS WHITE","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"50","Athleta","Gap INC","46","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"51","Atmos&Here","The Iconic","29","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","Some Progress","Limited Progress","Limited Progress","Some Progress"
"52","Aurike","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"53","Autograph","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"54","Avenue","City Chic Collective","35","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"55","Baby Baby","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"56","Baby Berry","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"57","Back Country","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"58","Bad Boy","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"59","Bali","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"60","Banana Republic","Gap INC","46","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"61","Bardot","Bardot Pty Ltd","1","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"62","Bardot Junior","Bardot Pty Ltd","1","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"63","Barely Basics","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"64","Barely Essentials","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"65","Barkers","Barkers Clothing","34","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"66","Basics Brand","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"67","Basics Maternity","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"68","Basque","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"69","Bdcoco","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"70","Beach Works","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"71","Beare & Ley","Lowes","9","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"72","Beme","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"73","Berghaus","Pentland Brands","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"74","Berlei","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"75","Bershka","Inditex","60","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"76","Best & Less","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"77","Beyond Her","Accent Group","16","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"78","Big W","Big W","34","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"79","Billabong","Boardriders","5","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"80","Birkenstock","Birkenstock","7","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence","No Evidence"
"81","Bisley Workwear","Bisley","8","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"82","Black Pepper","The PAS Group Limited","20","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"83","Blacknoise/Whiterain","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"84","Blaq","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"85","Blue Denim Co","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"86","Blue Illusion","Blue Illusion","8","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"87","Blundstone","Blundstone","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"88","Boden","Boden","38","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Some Progress","Limited Progress","Good Progress","No Evidence"
"89","Bogs","Weyco Group","7","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"90","Bonds","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"91","Bonds Explorer","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"92","boohoo","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"93","boohooMAN","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"94","Boss","Hugo Boss Group","51","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"95","Bras N Things","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"96","Breakers","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"97","Burton","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"98","Buttoned Down","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"99","Cable Stitch","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"100","Calvin Klein","PVH Corp","43","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"101","Canterbury of New Zealand","Pentland Brands","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"102","Capture","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"103","Cat Footwear","Wolverine Worldwide","14","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"104","Ceres Life","Cotton On Group","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress"
"105","Chaco","Wolverine Worldwide","14","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"106","Champion","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"107","Chloe & Lola","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"108","Cinori","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"109","City Beach","City Beach","3","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"110","City Chic","City Chic Collective","35","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"111","Clarks","Brand Collective (Footwear)","22","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","No Evidence"
"112","coast","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"113","Coastal Blue","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"114","Cobra Golf","Puma","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"115","Collusion","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"116","Colorado","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"117","Comfort Colors","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"118","Comfort Denim Outfitters","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"119","Common District","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"120","Common Need","Universal Store","21","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","Some Progress"
"121","Commonry","Brandbank","21","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","No Evidence"
"122","Connor","Retail Apparel Group","35","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Good Progress","Some Progress","Limited Progress","No Evidence"
"123","Converse","Nike","50","5","This is lower than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Good Progress","Some Progress"
"124","CORE 10","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"125","COS","H&M","56","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"126","Cotton On","Cotton On Group","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress"
"127","Cotton On Body","Cotton On Group","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress"
"128","Cotton On Kids","Cotton On Group","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress"
"129","Cougars","Lowes","9","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"130","Country Road","Country Road Group","53","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Some Progress"
"131","Crane Performance","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"132","Crane Snow","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"133","Crooked Tongues","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"134","Crossroads","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"135","Cue","Cue Clothing Co.","30","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","No Evidence","Limited Progress","No Evidence"
"136","Culture Kings","Culture Kings","5","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"137","D-Luxe","Decjuba","16","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"138","Daily Ritual","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"139","Dangerfield","Factory X","36","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
